"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C01","933000120124704","F","F18",52.25,36.6666666666667,11,14,12,11,100,80,85,107,110,115,"K1-1","K1-1","K1-1","K1-1","K1-1","MED1110-1",0.507967640658647
"C01","933000120124705","M","M1",13.75,2.33333333333333,2,5,3,4,107,87,92,114,117,122,"K2-2","K2-2","K2-2","K2-2","K2-2","MED1110-9",-0.728567568445887
"C02","933000120138271","F","F79",96.75,1,0,8,17,18,93,73,78,100,107,112,"MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2","MED1110-2",NA
"C02","933000120138279","F","F78",61.75,2.33333333333333,2,11,1,12,93,73,78,100,107,112,"MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1","MED1110-1",NA
"C02","933000120138280","M","M156",62.75,3.66666666666667,2,1,11,1,93,73,78,100,107,112,"K2-5","K2-5","K2-5","K2-5","K2-5","MED1110-12",-0.934546491876206
"C02","933000120138281","M","M177",-4,0,0,1,14,0,81,61,66,88,95,100,"Q3-5","Q3-5","Q3-5","Q3-3","Q3-5","MED1110-14",-1.30632192757663
"C02","933000120138282","F","F105",17,40,8,6,6,7,80,60,65,87,94,99,"MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-12","MED1110-4",-0.336039038252659
"C02","933000120138283","M","M174",108.25,2.66666666666667,1,12,13,22,81,61,66,88,95,100,"Q3-2","Q3-2","Q3-2","Q3-2","Q3-2","MED1110-11",0.755278439950107
"C02","933000120138285","F","F97",-3.5,24.3333333333333,10,9,12,8,83,63,68,90,97,102,"MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-16","MED1110-8",NA
"C02","933000120138286","F","F103",100.5,1.66666666666667,0,0,11,8,80,60,65,87,94,99,"K1-6","K1-6","K1-6","K1-6","K1-6","MED1110-6",-0.905675916181861
