"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box"
"C01","933000120124705","M","M1",13.75,2.33333333333333,2,5,3,4,107,87,92,114,117,122,"NA","NA","NA","NA","NA","9-MED1110"
"C02","933000120138271","F","F79",96.75,1,0,8,17,NA,93,73,78,100,107,NA,"2-MED1110","2-MED1110","2-MED1110","NA","2-MED1110",NA
"C02","933000120138279","F","F78",61.75,2.33333333333333,2,11,1,NA,93,73,78,100,107,NA,"1-MED1110","1-MED1110","1-MED1110","NA","1-MED1110",NA
"C02","933000120138280","M","M156",62.75,3.66666666666667,2,1,11,NA,93,73,78,100,107,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138281","M","M177",-4,0,0,1,14,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138282","F","F105",17,40,8,6,6,NA,80,60,65,87,94,NA,"12-MED1110","12-MED1110","12-MED1110","NA","12-MED1110",NA
"C02","933000120138283","M","M174",108.25,2.66666666666667,1,12,13,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138285","F","F97",-3.5,24.3333333333333,10,9,12,NA,83,63,68,90,97,NA,"16-MED1110","16-MED1110","16-MED1110","NA","16-MED1110",NA
"C02","933000120138286","F","F103",100.5,1.66666666666667,0,0,11,NA,80,60,65,87,94,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138287","F","F99",1.25,59.6666666666667,11,12,15,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138288","M","M173",56.25,19,6,12,15,NA,83,63,68,90,97,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138289","M","M172",73.25,NA,3,NA,9,NA,83,NA,68,NA,97,NA,"NA","NA",NA,"NA",NA,NA
"C02","933000120138291","M","M175",62.5,4.33333333333333,3,11,1,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138293","F","F96",7.75,12,4,14,12,NA,83,63,68,90,97,NA,"15-MED1110","15-MED1110","15-MED1110","NA","15-MED1110",NA
"C02","933000120138295","F","F98",9,36.6666666666667,10,13,10,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138296","F","F101",-48,48,10,12,11,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138300","F","F104",19.25,1.33333333333333,0,2,5,NA,80,60,65,87,94,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138302","M","M176",58.5,4,1,5,6,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138304","F","F102",38.5,42,0,14,18,NA,80,60,65,87,94,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138305","F","F100",113.5,0.666666666666667,1,16,14,NA,81,61,66,88,95,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138306","F","F93",103.25,1.33333333333333,2,13,2,NA,84,64,69,91,98,NA,"14-MED1110","14-MED1110","14-MED1110","NA","14-MED1110",NA
"C02","933000120138316","F","F92",88,4,1,13,12,NA,84,64,69,91,98,NA,"13-MED1110","13-MED1110","13-MED1110","NA","13-MED1110",NA
"C02","933000120138321","M","M169",31.25,NA,9,3,15,NA,84,NA,69,91,98,NA,"NA","NA","NA","NA",NA,NA
"C02","933000120138322","M","M168",141.75,NA,2,11,13,NA,84,NA,69,91,98,NA,"NA","NA","NA","NA",NA,NA
"C02","933000120138324","M","M171",37.5,NA,8,9,14,NA,84,NA,69,91,98,NA,"NA","NA","NA","NA",NA,NA
"C02","933000120138330","M","M170",100.25,NA,6,12,12,NA,84,NA,69,91,98,NA,"NA","NA","NA","NA",NA,NA
"C02","933000120138331","F","F84",66,1.33333333333333,1,6,1,NA,88,68,73,95,102,NA,"5-MED1110","5-MED1110","5-MED1110","NA","5-MED1110",NA
"C02","933000120138332","M","M162",76.75,3,2,11,12,NA,88,68,73,95,102,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138333","M","M167",-13.75,NA,9,9,3,NA,86,NA,71,93,100,NA,"NA","NA","NA","NA",NA,NA
"C02","933000120138334","M","M161",109.25,0.333333333333333,0,15,16,NA,88,68,73,95,102,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138335","F","F85",129.75,2.33333333333333,3,6,12,NA,88,68,73,95,102,NA,"6-MED1110","6-MED1110","6-MED1110","NA","6-MED1110",NA
"C02","933000120138336","M","M155",66.5,1.33333333333333,1,12,12,NA,93,73,78,100,107,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138338","F","F87",69.75,13.3333333333333,6,10,10,NA,89,69,74,96,103,NA,"8-MED1110","8-MED1110","8-MED1110","NA","8-MED1110",NA
"C02","933000120138339","M","M165",65.25,18.6666666666667,5,7,0,NA,86,66,71,93,100,NA,"NA","NA","NA","NA","NA",NA
"C02","933000120138340","F","F83",56.25,15,5,17,16,NA,88,68,73,95,102,NA,"4-MED1110","4-MED1110","4-MED1110","NA","4-MED1110",NA
"C02","933000120138341","F","F86",119.5,4.66666666666667,1,14,16,NA,89,69,74,96,103,NA,"7-MED1110","7-MED1110","7-MED1110","NA","7-MED1110",NA
