"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box"
"C05","933000120138415","M","M561",25.5,20.3333333333333,7,14,13,16,108,88,93,116,121,124,"7-MED1113","7-MED1113","7-MED1113","7-MED1113","7-MED1113","11-MED1110"
"C05","933000120138417","M","M564",9.75,2.66666666666667,2,12,1,6,106,86,91,114,119,122,"10-MED1113","10-MED1113","10-MED1113","10-MED1113","10-MED1113","14-MED1110"
"C05","933000120138420","M","M562",10.25,17.6666666666667,12,12,13,3,108,88,93,116,121,124,"8-MED1113","8-MED1113","8-MED1113","8-MED1113","8-MED1113","12-MED1110"
"C05","933000120138424","F","F508",-7.75,27.3333333333333,14,10,11,24,108,88,93,116,121,124,"8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110"
"C05","933000120138427","M","M565",84.75,0.333333333333333,0,8,12,15,108,88,93,116,121,124,"11-MED1113","11-MED1113","11-MED1113","11-MED1113","11-MED1113","15-MED1110"
"C05","933000120138432","F","F516",NA,0.333333333333333,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,"16-MED1110",NA
"C05","933000120138434","M","M566",0.5,0,0,0,0,1,96,76,81,104,109,112,"12-MED1113","12-MED1113","12-MED1113","12-MED1113","12-MED1113","16-MED1110"
"C05","933000120138436","M","M570",103.75,NA,1,12,13,8,99,NA,84,107,112,115,"NA","NA","NA","NA",NA,"12-MED1110"
"C05","933000120138437","M","M580",73.75,0.666666666666667,2,10,11,2,98,78,83,106,111,114,"NA","NA","NA","NA","NA","14-MED1110"
"C05","933000120138440","F","F530",139,0.333333333333333,1,11,14,6,96,76,81,104,109,112,"NA","NA","NA","NA","NA","6-MED1110"
"C05","933000120138447","F","F529",135.5,2.33333333333333,2,11,16,29,96,76,81,104,109,112,"NA","NA","NA","NA","NA","5-MED1110"
"C05","933000120138454","F","F527",114.5,1.66666666666667,0,12,8,14,99,79,84,107,112,115,"NA","NA","NA","NA","NA","3-MED1110"
"C05","933000120138455","M","M579",-4.75,1.33333333333333,2,0,1,3,98,78,83,106,111,114,"NA","NA","NA","NA","NA","13-MED1110"
"C05","933000120138494","F","F501",9.5,44.3333333333333,8,13,14,16,109,89,94,117,122,125,"1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110"
"C05","933000120138496","F","F502",3.75,0.333333333333333,1,1,1,0,109,89,94,117,122,125,"2-MED1110","2-MED1110","2-MED1110","2-MED1110","2-MED1110","2-MED1110"
"C05","933000120138500","M","M552",-1.25,1,1,0,0,2,109,89,94,117,122,125,"NA","NA","NA","NA","NA","10-MED1110"
"C05","933000120138504","M","M551",-1,2,0,1,9,8,109,89,94,117,122,125,"NA","NA","NA","NA","NA","9-MED1110"
"C05","933000120138607","F","F512",-54.5,20.6666666666667,9,0,2,8,109,89,94,117,122,125,"12-MED1110","12-MED1110","12-MED1110","12-MED1110","12-MED1110","4-MED1110"
"C05","933000120138609","M","M558",1.25,0.333333333333333,1,4,4,4,109,89,94,117,122,125,"4-MED1113","4-MED1113","4-MED1113","4-MED1113","4-MED1113","16-MED1110"
"C05","933000120138611","F","F509",-1.5,0.666666666666667,1,0,7,11,109,89,94,117,122,125,"9-MED1110","9-MED1110","9-MED1110","9-MED1110","9-MED1110","1-MED1110"
"C05","933000120138615","M","M557",62.25,7.33333333333333,4,7,9,7,109,89,94,117,122,125,"3-MED1113","3-MED1113","3-MED1113","3-MED1113","3-MED1113","15-MED1110"
"C05","933000120138616","M","M559",54.25,11,7,12,12,5,109,89,94,117,122,125,"5-MED1113","5-MED1113","5-MED1113","5-MED1113","5-MED1113","9-MED1110"
"C05","933000120138623","F","F507",-118,40.6666666666667,9,NA,NA,NA,109,89,94,NA,NA,NA,"7-MED1110","7-MED1110",NA,NA,"7-MED1110",NA
"C05","933000120138627","M","M560",-4.75,2.33333333333333,1,1,2,4,109,89,94,117,122,125,"6-MED1113","6-MED1113","6-MED1113","6-MED1113","6-MED1113","10-MED1110"
"C05","933000120138630","F","F510",1.75,1,1,0,3,2,109,89,94,117,122,125,"10-MED1110","10-MED1110","10-MED1110","10-MED1110","10-MED1110","2-MED1110"
"C05","933000120138682","F","F504",-32.25,3,2,5,5,1,109,89,94,117,122,125,"4-MED1110","4-MED1110","4-MED1110","4-MED1110","4-MED1110","4-MED1110"
"C05","933000120138684","F","F506",13.75,32,10,10,10,8,109,89,94,117,122,125,"6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110"
"C05","933000120138686","F","F505",34,14.6666666666667,9,11,8,35,109,89,94,117,122,125,"5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110"
"C05","933000120138687","F","F532",84.75,21,2,9,10,30,110,90,95,118,123,126,"13-MED1110","13-MED1110","13-MED1110","13-MED1110","13-MED1110","5-MED1110"
"C05","933000120138689","M","M554",67,0.333333333333333,0,7,15,5,109,89,94,117,122,125,"NA","NA","NA","NA","NA","12-MED1110"
"C05","933000120138690","F","F503",45,19,11,16,16,18,109,89,94,117,122,125,"3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110"
"C05","933000120138696","M","M555",15.5,0.666666666666667,1,11,9,0,109,89,94,117,122,125,"1-MED1113","1-MED1113","1-MED1113","1-MED1113","1-MED1113","13-MED1110"
"C05","933000120138698","M","M556",5.5,0.333333333333333,1,16,11,5,109,89,94,117,122,125,"2-MED1113","2-MED1113","2-MED1113","2-MED1113","2-MED1113","14-MED1110"
"C05","933000120138700","M","M553",2,0.333333333333333,0,0,6,0,109,89,94,117,122,125,"NA","NA","NA","NA","NA","11-MED1110"
"C05","933000120138707","F","F528",96.5,50.3333333333333,10,12,13,22,106,86,91,114,119,122,"NA","NA","NA","NA","NA","4-MED1110"
"C05","933000120138708","M","M572",38.25,NA,1,3,10,7,105,NA,90,113,118,121,"NA","NA","NA","NA",NA,"14-MED1110"
"C05","933000120138711","F","F521",6.75,2,2,6,7,NA,104,84,89,112,117,NA,"NA","NA","NA","NA","NA",NA
"C05","933000120138712","F","F519",-0.75,1.66666666666667,2,13,9,6,105,85,90,113,118,121,"NA","NA","NA","NA","NA","3-MED1110"
"C05","933000120138715","F","F522",87,0.666666666666667,0,100,13,1,104,84,89,112,117,120,"NA","NA","NA","NA","NA","6-MED1110"
"C05","933000120138717","M","M571",76,NA,2,10,9,5,105,NA,90,113,118,121,"NA","NA","NA","NA",NA,"13-MED1110"
"C05","933000120138718","M","M574",-2.5,NA,2,2,2,2,104,NA,89,112,117,120,"NA","NA","NA","NA",NA,"16-MED1110"
"C05","933000120138722","F","F520",88.75,2.66666666666667,2,11,14,23,105,85,90,113,118,121,"NA","NA","NA","NA","NA","4-MED1110"
"C05","933000120138724","M","M569",-7,NA,3,2,7,8,106,NA,91,114,119,122,"NA","NA","NA","NA",NA,"11-MED1110"
"C05","933000120138726","F","F517",19.5,2,1,NA,NA,NA,104,84,89,NA,NA,NA,"NA","NA",NA,NA,"NA",NA
"C05","933000120138730","M","M573",54,NA,2,11,13,13,104,NA,89,112,117,120,"NA","NA","NA","NA",NA,"15-MED1110"
"C05","933000120138732","F","F525",-176,29.6666666666667,7,NA,NA,NA,99,79,84,NA,NA,NA,"NA","NA",NA,NA,"NA",NA
"C05","933000120138734","M","M576",44.5,2.66666666666667,1,8,10,14,104,84,89,112,117,120,"NA","NA","NA","NA","NA","10-MED1110"
"C05","933000120138736","M","M578",100,4,6,10,12,5,100,80,85,108,113,116,"NA","NA","NA","NA","NA","12-MED1110"
"C05","933000120138743","F","F524",71.25,1.66666666666667,1,11,11,9,104,84,89,112,117,120,"NA","NA","NA","NA","NA","8-MED1110"
"C05","933000120138744","M","M577",114.25,0.333333333333333,0,10,12,7,99,79,84,107,112,115,"NA","NA","NA","NA","NA","11-MED1110"
"C05","933000120138748","F","F526",103.5,0,0,6,16,10,100,80,85,108,113,116,"NA","NA","NA","NA","NA","2-MED1110"
"C05","933000120138750","M","M575",58,5.66666666666667,4,9,7,1,104,84,89,112,117,120,"NA","NA","NA","NA","NA","9-MED1110"
"C05","933000120138754","F","F523",-24,13.6666666666667,8,4,12,14,104,84,89,112,117,120,"NA","NA","NA","NA","NA","7-MED1110"
"C07","933000320045652","F","F729",73.25,1.33333333333333,1,15,14,8,100,79,84,106,113,108,"13-MED1112","13-MED1112","13-MED1112","13-MED1112","13-MED1112","5-MED1110"
"C07","933000320045653","F","F723",13,50.6666666666667,11,13,9,15,100,79,84,106,113,108,"7-MED1112","7-MED1112","7-MED1112","7-MED1112","7-MED1112","7-MED1110"
"C07","933000320045657","M","M755",36.5,0.333333333333333,0,13,15,11,100,79,84,106,113,108,"3-MED1113","3-MED1113","3-MED1113","3-MED1113","3-MED1113","13-MED1110"
"C07","933000320045659","M","M761",58.25,5.33333333333333,2,8,11,7,100,79,84,106,113,108,"9-MED1113","9-MED1113","9-MED1113","9-MED1113","9-MED1113","11-MED1110"
"C07","933000320045660","M","M775",21.75,42,12,12,13,10,99,78,83,105,112,107,"7-MED1114","7-MED1114","7-MED1114","7-MED1114","7-MED1114","9-MED1110"
"C07","933000320045661","F","F728",20.75,25,7,10,13,6,99,78,83,105,112,107,"12-MED1112","12-MED1112","12-MED1112","12-MED1112","12-MED1112","4-MED1110"
"C07","933000320045667","F","F730",27.5,34.6666666666667,8,18,15,12,100,79,84,106,113,108,"14-MED1112","14-MED1112","14-MED1112","14-MED1112","14-MED1112","6-MED1110"
"C07","933000320045670","M","M774",17.25,0,0,0,11,3,100,79,84,106,113,108,"6-MED1114","6-MED1114","6-MED1114","6-MED1114","6-MED1114","16-MED1110"
"C07","933000320045671","F","F713",-7.5,41,9,12,1,10,100,79,84,106,113,108,"13-MED1110","13-MED1110","13-MED1110","13-MED1110","13-MED1110","5-MED1110"
"C07","933000320045672","M","M767",64.5,1.66666666666667,1,16,15,5,100,79,84,106,113,108,"15-MED1113","15-MED1113","15-MED1113","15-MED1113","15-MED1113","9-MED1110"
"C07","933000320045674","M","M762",-48,50.6666666666667,5,14,19,23,100,79,84,106,113,108,"10-MED1113","10-MED1113","10-MED1113","10-MED1113","10-MED1113","12-MED1110"
"C07","933000320045675","F","F727",-29.75,28.3333333333333,9,1,1,8,99,78,83,105,112,107,"11-MED1112","11-MED1112","11-MED1112","11-MED1112","11-MED1112","3-MED1110"
"C07","933000320045735","M","M772",-3,2.5,2,2,1,2,104,83,88,110,117,112,"4-MED1114","4-MED1114","4-MED1114","4-MED1114","4-MED1114","14-MED1110"
"C07","933000320045736","F","F716",62.75,1,0,13,12,5,105,84,89,111,118,113,"16-MED1110","16-MED1110","16-MED1110","16-MED1110","16-MED1110","8-MED1110"
"C07","933000320045740","F","F715",73.5,0,1,5,3,0,104,83,88,110,117,112,"15-MED1110","15-MED1110","15-MED1110","15-MED1110","15-MED1110","7-MED1110"
"C07","933000320045744","M","M771",2,34.5,8,13,15,23,105,84,89,111,118,113,"3-MED1114","3-MED1114","3-MED1114","3-MED1114","3-MED1114","13-MED1110"
"C07","933000320045777","F","F705",148,0.333333333333333,2,8,6,7,105,84,89,111,118,113,"5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110","5-MED1110"
"C07","933000320045778","M","M765",16.75,36.6666666666667,14,16,18,27,105,84,89,111,118,113,"13-MED1113","13-MED1113","13-MED1113","13-MED1113","13-MED1113","15-MED1110"
"C07","933000320045781","F","F703",19.25,13.6666666666667,5,6,7,4,105,84,89,111,118,113,"3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110","3-MED1110"
"C07","933000320045784","M","M766",48.5,4.33333333333333,4,14,14,4,106,85,90,112,119,114,"14-MED1113","14-MED1113","14-MED1113","14-MED1113","14-MED1113","16-MED1110"
"C07","933000320045785","M","M779",86.5,1,1,11,1,4,106,85,90,112,119,114,"11-MED1114","11-MED1114","11-MED1114","11-MED1114","11-MED1114","13-MED1110"
"C07","933000320045787","F","F706",-0.75,0,0,1,0,0,105,84,89,111,118,113,"6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110","6-MED1110"
"C07","933000320045788","M","M780",-26,7.5,2,1,0,4,105,84,89,111,118,113,"12-MED1114","12-MED1114","12-MED1114","12-MED1114","12-MED1114","14-MED1110"
"C07","933000320045791","M","M777",51,2,2,9,9,5,105,84,89,111,118,113,"9-MED1114","9-MED1114","9-MED1114","9-MED1114","9-MED1114","11-MED1110"
"C07","933000320045792","F","F704",130.25,2.33333333333333,2,3,0,8,105,84,89,111,118,113,"4-MED1110","4-MED1110","4-MED1110","4-MED1110","4-MED1110","4-MED1110"
"C07","933000320045793","F","F712",-26.25,26,7,9,0,7,106,85,90,112,119,114,"12-MED1110","12-MED1110","12-MED1110","12-MED1110","12-MED1110","4-MED1110"
"C07","933000320045794","F","F711",129.75,0.666666666666667,0,9,9,10,106,85,90,112,119,114,"11-MED1110","11-MED1110","11-MED1110","11-MED1110","11-MED1110","3-MED1110"
"C07","933000320045799","M","M778",50,2.5,2,0,0,3,105,84,89,111,118,113,"10-MED1114","10-MED1114","10-MED1114","10-MED1114","10-MED1114","12-MED1110"
"C07","933000320045978","F","F707",0,0,0,0,0,0,107,86,91,113,120,115,"7-MED1110","7-MED1110","7-MED1110","7-MED1110","7-MED1110","7-MED1110"
"C07","933000320045988","F","F708",4.75,36.3333333333333,15,18,19,6,107,86,91,113,120,115,"8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110","8-MED1110"
"C07","933000320045990","M","M764",99.5,0.666666666666667,0,2,12,4,107,86,91,113,120,115,"12-MED1113","12-MED1113","12-MED1113","12-MED1113","12-MED1113","14-MED1110"
"C07","933000320045997","M","M763",38,5,3,14,20,19,107,86,91,113,120,115,"11-MED1113","11-MED1113","11-MED1113","11-MED1113","11-MED1113","13-MED1110"
"C07","933000320046078","F","F725",6.75,39,6,12,10,10,102,81,86,108,115,110,"9-MED1112","9-MED1112","9-MED1112","9-MED1112","9-MED1112","1-MED1110"
"C07","933000320046081","F","F726",31.75,0.666666666666667,0,1,0,1,102,81,86,108,115,110,"10-MED1112","10-MED1112","10-MED1112","10-MED1112","10-MED1112","2-MED1110"
"C07","933000320046086","F","F717",104.25,1.33333333333333,2,12,15,3,103,82,87,109,116,111,"1-MED1112","1-MED1112","1-MED1112","1-MED1112","1-MED1112","1-MED1110"
"C07","933000320046088","M","M752",-0.25,2.66666666666667,2,2,2,2,102,81,86,108,115,110,"16-MED1112","16-MED1112","16-MED1112","16-MED1112","16-MED1112","10-MED1110"
"C07","933000320046092","M","M773",85.25,0,0,14,15,14,103,82,87,109,116,111,"5-MED1114","5-MED1114","5-MED1114","5-MED1114","5-MED1114","15-MED1110"
"C07","933000320046093","F","F718",48.75,0,0,1,8,2,104,83,88,110,117,112,"2-MED1112","2-MED1112","2-MED1112","2-MED1112","2-MED1112","2-MED1110"
"C07","933000320046099","M","M751",96,0,0,19,20,9,102,81,86,108,115,110,"15-MED1112","15-MED1112","15-MED1112","15-MED1112","15-MED1112","9-MED1110"
"C07","933000320046127","F","F721",0.75,31,10,11,10,10,96,75,80,102,109,104,"5-MED1112","NA","5-MED1112","5-MED1112","5-MED1112","5-MED1110"
"C07","933000320046129","F","F722",-43.25,1.66666666666667,0,0,0,0,96,75,80,102,109,104,"6-MED1112","6-MED1112","6-MED1112","6-MED1112","6-MED1112","6-MED1110"
"C07","933000320046131","M","M770",-4.5,28.5,8,13,13,15,97,76,81,103,110,105,"2-MED1114","2-MED1114","2-MED1114","2-MED1114","2-MED1114","12-MED1110"
"C07","933000320046135","M","M757",17,5.33333333333333,1,7,10,7,98,77,82,104,111,106,"5-MED1113","5-MED1113","5-MED1113","5-MED1113","5-MED1113","15-MED1110"
"C07","933000320046141","M","M753",0,0,0,0,0,0,96,75,80,102,109,104,"1-MED1113","1-MED1113","1-MED1113","1-MED1113","1-MED1113","11-MED1110"
"C07","933000320046143","F","F724",83.75,3.33333333333333,3,1,10,4,97,76,81,103,110,105,"8-MED1112","8-MED1112","8-MED1112","8-MED1112","8-MED1112","8-MED1110"
"C07","933000320046144","M","M754",65.25,2.66666666666667,2,10,10,14,96,75,80,102,109,104,"2-MED1113","2-MED1113","2-MED1113","2-MED1113","2-MED1113","12-MED1110"
"C07","933000320046148","M","M756",101.75,0.666666666666667,0,15,16,4,104,83,88,110,117,112,"4-MED1113","4-MED1113","4-MED1113","4-MED1113","4-MED1113","14-MED1110"
"C07","933000320046376","F","F720",130.75,0,0,3,14,17,98,77,82,104,111,106,"4-MED1112","4-MED1112","4-MED1112","4-MED1112","4-MED1112","4-MED1110"
"C07","933000320046377","F","F710",31.5,32,11,10,5,14,97,76,81,103,110,105,"10-MED1110","10-MED1110","10-MED1110","10-MED1110","10-MED1110","2-MED1110"
"C07","933000320046379","M","M769",45.5,11.5,3,9,12,9,97,76,81,103,110,105,"1-MED1114","1-MED1114","1-MED1114","1-MED1114","1-MED1114","11-MED1110"
"C07","933000320046382","F","F709",6.5,45,12,14,12,10,97,76,81,103,110,105,"9-MED1110","9-MED1110","9-MED1110","9-MED1110","9-MED1110","1-MED1110"
"C07","933000320046390","M","M758",22,3.66666666666667,3,2,9,1,98,77,82,104,111,106,"6-MED1113","6-MED1113","6-MED1113","6-MED1113","6-MED1113","16-MED1110"
"C07","933000320046393","F","F719",-10,41.6666666666667,12,15,11,12,98,77,82,104,111,106,"3-MED1112","3-MED1112","3-MED1112","3-MED1112","3-MED1112","3-MED1110"
"C07","933000320046397","M","M776",11,6,5,12,10,2,98,77,82,104,111,106,"8-MED1114","8-MED1114","8-MED1114","8-MED1114","8-MED1114","10-MED1110"
"C07","933000320046605","F","F701",6,41.6666666666667,11,19,17,19,100,79,84,106,113,108,"1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110","1-MED1110"
"C07","933000320046608","F","F714",8.75,2,3,2,2,1,101,80,85,107,114,109,"14-MED1110","14-MED1110","14-MED1110","14-MED1110","14-MED1110","6-MED1110"
"C07","933000320046609","M","M759",-29.25,43.6666666666667,14,12,12,21,100,79,84,106,113,108,"7-MED1113","7-MED1113","7-MED1113","7-MED1113","7-MED1113","9-MED1110"
"C07","933000320046611","M","M768",-1.75,0.333333333333333,1,0,1,0,101,80,85,107,114,109,"16-MED1113","16-MED1113","16-MED1113","16-MED1113","16-MED1113","10-MED1110"
"C07","933000320046613","F","F702",112.5,1.33333333333333,2,12,3,10,100,79,84,106,113,108,"2-MED1110","2-MED1110","2-MED1110","2-MED1110","2-MED1110","2-MED1110"
"C07","933000320046615","M","M760",12,19.6666666666667,7,11,16,2,101,80,85,107,114,109,"8-MED1113","8-MED1113","8-MED1113","8-MED1113","8-MED1113","10-MED1110"
"C01","933000120117322","M","M62",NA,2,0,NA,NA,NA,NA,80,85,NA,NA,NA,NA,"NA",NA,NA,"NA",NA
"C02","933000120138298","M","M178",NA,10.3333333333333,3,NA,NA,NA,NA,60,65,NA,NA,NA,NA,"NA",NA,NA,"NA",NA
"C02","933000120138353","F","F82",NA,6,4,NA,NA,NA,NA,68,73,NA,NA,NA,NA,"3-MED1110",NA,NA,"3-MED1110",NA
"C04","933000120138393","M","M465",NA,15,6,NA,NA,NA,NA,72,77,NA,NA,NA,NA,"NA",NA,NA,"NA",NA
"C04","933000120138591","F","F402",NA,0,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,"2-MED1110",NA
"C04","933000120138594","F","F407",NA,0,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,"7-MED1110",NA
"C04","933000120138660","F","F404",NA,0,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,"4-MED1110",NA
"C08","933000320046904","F","F819",NA,41.3333333333333,5,16,11,4,NA,77,84,105,111,107,NA,"3-BSB273C","3-BSB273C","3-BSB273C","3-BSB273C","3-BSB273B"
"C08","933000320046907","F","F817",NA,45.3333333333333,11,13,14,38,NA,77,84,105,111,107,NA,"1-BSB273C","1-BSB273C","1-BSB273C","1-BSB273C","1-BSB273B"
"C08","933000320046910","M","M856",NA,26.6666666666667,12,17,16,35,NA,77,84,105,111,107,NA,"4-BSB273D","4-BSB273D","4-BSB273D","4-BSB273D","14-BSB273B"
"C08","933000320046915","M","M860",NA,29,9,3,0,11,NA,76,83,104,110,106,NA,"8-BSB273D","8-BSB273D","8-BSB273D","8-BSB273D","10-BSB273B"
"C08","933000320046919","F","F809",NA,8.33333333333333,2,10,12,20,NA,77,84,105,111,107,NA,"9-BSB273B","9-BSB273B","9-BSB273B","9-BSB273B","1-BSB273B"
"C08","933000320046920","M","M857",NA,1.33333333333333,0,0,1,1,NA,77,84,105,111,107,NA,"5-BSB273D","5-BSB273D","5-BSB273D","5-BSB273D","15-BSB273B"
"C08","933000320046922","M","M855",NA,1.33333333333333,0,0,15,29,NA,77,84,105,111,107,NA,"3-BSB273D","3-BSB273D","3-BSB273D","3-BSB273D","13-BSB273B"
"C08","933000320046923","F","F816",NA,16.6666666666667,0,15,11,1,NA,76,83,104,110,106,NA,"16-BSB273B","16-BSB273B","16-BSB273B","16-BSB273B","8-BSB273B"
"C08","933000320047103","F","F802",NA,21,6,0,13,2,NA,72,79,100,106,102,NA,"2-BSB273B","2-BSB273B","2-BSB273B","2-BSB273B","2-BSB273B"
"C08","933000320047104","M","M854",NA,7.33333333333333,0,1,1,1,NA,72,79,100,106,102,NA,"2-BSB273D","2-BSB273D","2-BSB273D","2-BSB273D","12-BSB273B"
"C08","933000320047108","F","F810",NA,0.333333333333333,0,14,13,59,NA,75,82,103,109,105,NA,"10-BSB273B","10-BSB273B","10-BSB273B","10-BSB273B","2-BSB273B"
"C08","933000320047110","F","F815",NA,2.33333333333333,3,11,13,63,NA,75,82,103,109,105,NA,"15-BSB273B","NA","NA","15-BSB273B","7-BSB273B"
"C08","933000320047111","F","F813",NA,53.6666666666667,12,12,12,32,NA,72,79,100,106,102,NA,"13-BSB273B","13-BSB273B","13-BSB273B","13-BSB273B","5-BSB273B"
"C08","933000320047112","M","M875",NA,11.3333333333333,1,3,0,16,NA,72,79,100,106,102,NA,"7-BSB273E","7-BSB273E","7-BSB273E","7-BSB273E","9-BSB273B"
"C08","933000320047114","M","M852",NA,8,2,1,3,5,NA,73,80,101,107,103,NA,"16-BSB273C","16-BSB273C","16-BSB273C","16-BSB273C","10-BSB273B"
"C08","933000320047115","M","M858",NA,34.3333333333333,2,10,12,5,NA,75,82,103,109,105,NA,"6-BSB273D","6-BSB273D","6-BSB273D","6-BSB273D","16-BSB273B"
"C08","933000320047116","M","M859",NA,25,6,0,0,11,NA,75,82,103,109,105,NA,"7-BSB273D","7-BSB273D","7-BSB273D","7-BSB273D","9-BSB273B"
"C08","933000320047119","F","F829",NA,44.3333333333333,15,14,9,27,NA,72,79,100,106,102,NA,"13-BSB273C","13-BSB273C","13-BSB273C","13-BSB273C","5-BSB273B"
"C08","933000320047121","F","F820",NA,47,6,5,12,21,NA,73,80,101,107,103,NA,"4-BSB273C","4-BSB273C","4-BSB273C","4-BSB273C","4-BSB273B"
"C08","933000320047126","F","F812",NA,84.3333333333333,3,9,0,1,NA,80,87,108,114,110,NA,"12-BSB273B","NA","12-BSB273B","12-BSB273B","4-BSB273B"
"C08","933000320047127","F","F822",NA,1.66666666666667,2,12,14,24,NA,80,87,108,114,110,NA,"6-BSB273C","6-BSB273C","6-BSB273C","6-BSB273C","6-BSB273B"
"C08","933000320047129","F","F811",NA,40,8,13,12,4,NA,79,86,107,113,109,NA,"11-BSB273B","11-BSB273B","11-BSB273B","11-BSB273B","3-BSB273B"
"C08","933000320047130","M","M862",NA,21.6666666666667,1,7,0,0,NA,80,87,108,114,110,NA,"10-BSB273D","10-BSB273D","10-BSB273D","10-BSB273D","12-BSB273B"
"C08","933000320047132","M","M867",NA,5.33333333333333,2,2,2,10,NA,79,86,107,113,109,NA,"15-BSB273D","15-BSB273D","15-BSB273D","15-BSB273D","9-BSB273B"
"C08","933000320047135","F","F826",NA,25.6666666666667,5,14,13,22,NA,79,86,107,113,109,NA,"10-BSB273C","10-BSB273C","10-BSB273C","10-BSB273C","2-BSB273B"
"C08","933000320047136","M","M864",NA,17.6666666666667,7,3,14,23,NA,80,87,108,114,110,NA,"12-BSB273D","12-BSB273D","12-BSB273D","12-BSB273D","14-BSB273B"
"C08","933000320047143","F","F827",NA,29.6666666666667,4,10,0,2,NA,80,87,108,114,110,NA,"11-BSB273C","11-BSB273C","11-BSB273C","11-BSB273C","3-BSB273B"
"C08","933000320047144","M","M861",NA,5.33333333333333,1,0,2,0,NA,80,87,108,114,110,NA,"9-BSB273D","9-BSB273D","9-BSB273D","9-BSB273D","11-BSB273B"
"C08","933000320047147","F","F824",NA,34.3333333333333,12,12,14,3,NA,80,87,108,114,110,NA,"8-BSB273C","8-BSB273C","8-BSB273C","8-BSB273C","8-BSB273B"
"C08","933000320047150","M","M869",NA,12,5,6,2,3,NA,80,87,108,114,110,NA,"1-BSB273E","1-BSB273E","1-BSB273E","1-BSB273E","11-BSB273B"
"C08","933000320047252","F","F830",NA,21,7,0,0,21,NA,71,78,99,105,101,NA,"14-BSB273C","14-BSB273C","14-BSB273C","14-BSB273C","6-BSB273B"
"C08","933000320047254","F","F806",NA,0,0,0,0,0,NA,72,79,100,106,102,NA,"6-BSB273B","6-BSB273B","6-BSB273B","6-BSB273B","6-BSB273B"
"C08","933000320047259","M","M880",NA,4,2,7,8,24,NA,72,79,100,106,102,NA,"12-BSB273E","12-BSB273E","12-BSB273E","12-BSB273E","14-BSB273B"
"C08","933000320047260","M","M879",NA,33.3333333333333,10,16,18,16,NA,72,79,100,106,102,NA,"11-BSB273E","11-BSB273E","11-BSB273E","11-BSB273E","13-BSB273B"
"C08","933000320047264","F","F814",NA,30.3333333333333,4,2,2,3,NA,71,78,99,105,101,NA,"14-BSB273B","14-BSB273B","14-BSB273B","14-BSB273B","6-BSB273B"
"C08","933000320047268","F","F837",NA,40.3333333333333,11,13,11,42,NA,72,79,100,106,102,NA,"9-BSB273C","9-BSB273C","9-BSB273C","9-BSB273C","1-BSB273B"
"C08","933000320047275","M","M873",NA,1,0,1,4,1,NA,71,78,99,105,101,NA,"5-BSB273E","5-BSB273E","5-BSB273E","5-BSB273E","15-BSB273B"
"C08","933000320047277","M","M863",NA,1.33333333333333,1,0,1,15,NA,78,85,106,112,108,NA,"11-BSB273D","11-BSB273D","11-BSB273D","11-BSB273D","13-BSB273B"
"C08","933000320047280","F","F828",NA,27.3333333333333,6,17,8,39,NA,78,85,106,112,108,NA,"12-BSB273C","12-BSB273C","12-BSB273C","12-BSB273C","4-BSB273B"
"C08","933000320047281","M","M868",NA,13,4,14,14,14,NA,78,85,106,112,108,NA,"16-BSB273D","16-BSB273D","16-BSB273D","16-BSB273D","10-BSB273B"
"C08","933000320047283","M","M853",NA,7.66666666666667,2,0,3,0,NA,78,85,106,112,108,NA,"1-BSB273D","1-BSB273D","1-BSB273D","1-BSB273D","11-BSB273B"
"C08","933000320047286","F","F818",NA,3.66666666666667,0,10,7,24,NA,78,85,106,112,108,NA,"2-BSB273C","2-BSB273C","2-BSB273C","2-BSB273C","2-BSB273B"
"C08","933000320047287","M","M865",NA,11.6666666666667,3,9,8,3,NA,79,86,107,113,109,NA,"13-BSB273D","13-BSB273D","13-BSB273D","13-BSB273D","15-BSB273B"
"C08","933000320047288","F","F821",NA,3.33333333333333,2,1,6,35,NA,78,85,106,112,108,NA,"5-BSB273C","5-BSB273C","5-BSB273C","5-BSB273C","5-BSB273B"
