"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03"
"C05","933000120138611","F","F509",-1.5,0.666666666666667,1,0,7,11
"C05","933000120138615","M","M557",62.25,7.33333333333333,4,7,9,7
"C05","933000120138616","M","M559",54.25,11,7,12,12,5
"C05","933000120138627","M","M560",-4.75,2.33333333333333,1,1,2,4
"C05","933000120138630","F","F510",1.75,1,1,0,3,2
"C05","933000120138682","F","F504",-32.25,3,2,5,5,1
"C05","933000120138684","F","F506",13.75,32,10,10,10,8
"C05","933000120138686","F","F505",34,14.6666666666667,9,11,8,35
"C05","933000120138687","F","F532",84.75,21,2,9,10,30
"C05","933000120138689","M","M554",67,0.333333333333333,0,7,15,5
"C05","933000120138690","F","F503",45,19,11,16,16,18
"C05","933000120138696","M","M555",15.5,0.666666666666667,1,11,9,0
"C05","933000120138698","M","M556",5.5,0.333333333333333,1,16,11,5
"C05","933000120138700","M","M553",2,0.333333333333333,0,0,6,0
"C05","933000120138707","F","F528",96.5,50.3333333333333,10,12,13,22
"C05","933000120138712","F","F519",-0.75,1.66666666666667,2,13,9,6
"C05","933000120138715","F","F522",87,0.666666666666667,0,100,13,1
"C05","933000120138722","F","F520",88.75,2.66666666666667,2,11,14,23
"C05","933000120138734","M","M576",44.5,2.66666666666667,1,8,10,14
"C05","933000120138736","M","M578",100,4,6,10,12,5
"C05","933000120138743","F","F524",71.25,1.66666666666667,1,11,11,9
"C05","933000120138744","M","M577",114.25,0.333333333333333,0,10,12,7
"C05","933000120138748","F","F526",103.5,0,0,6,16,10
"C05","933000120138750","M","M575",58,5.66666666666667,4,9,7,1
"C05","933000120138754","F","F523",-24,13.6666666666667,8,4,12,14
"C07","933000320045652","F","F729",73.25,1.33333333333333,1,15,14,8
"C07","933000320045653","F","F723",13,50.6666666666667,11,13,9,15
"C07","933000320045657","M","M755",36.5,0.333333333333333,0,13,15,11
"C07","933000320045659","M","M761",58.25,5.33333333333333,2,8,11,7
"C07","933000320045660","M","M775",21.75,42,12,12,13,10
"C07","933000320045661","F","F728",20.75,25,7,10,13,6
"C07","933000320045667","F","F730",27.5,34.6666666666667,8,18,15,12
"C07","933000320045670","M","M774",17.25,0,0,0,11,3
"C07","933000320045671","F","F713",-7.5,41,9,12,1,10
"C07","933000320045672","M","M767",64.5,1.66666666666667,1,16,15,5
"C07","933000320045674","M","M762",-48,50.6666666666667,5,14,19,23
"C07","933000320045675","F","F727",-29.75,28.3333333333333,9,1,1,8
"C07","933000320045735","M","M772",-3,2.5,2,2,1,2
"C07","933000320045736","F","F716",62.75,1,0,13,12,5
"C07","933000320045740","F","F715",73.5,0,1,5,3,0
"C07","933000320045744","M","M771",2,34.5,8,13,15,23
"C07","933000320045777","F","F705",148,0.333333333333333,2,8,6,7
"C07","933000320045778","M","M765",16.75,36.6666666666667,14,16,18,27
"C07","933000320045781","F","F703",19.25,13.6666666666667,5,6,7,4
"C07","933000320045784","M","M766",48.5,4.33333333333333,4,14,14,4
"C07","933000320045785","M","M779",86.5,1,1,11,1,4
"C07","933000320045787","F","F706",-0.75,0,0,1,0,0
"C07","933000320045788","M","M780",-26,7.5,2,1,0,4
"C07","933000320045791","M","M777",51,2,2,9,9,5
"C07","933000320045792","F","F704",130.25,2.33333333333333,2,3,0,8
"C07","933000320045793","F","F712",-26.25,26,7,9,0,7
"C07","933000320045794","F","F711",129.75,0.666666666666667,0,9,9,10
"C07","933000320045799","M","M778",50,2.5,2,0,0,3
"C07","933000320045978","F","F707",0,0,0,0,0,0
"C07","933000320045988","F","F708",4.75,36.3333333333333,15,18,19,6
"C07","933000320045990","M","M764",99.5,0.666666666666667,0,2,12,4
"C07","933000320045997","M","M763",38,5,3,14,20,19
"C07","933000320046078","F","F725",6.75,39,6,12,10,10
"C07","933000320046081","F","F726",31.75,0.666666666666667,0,1,0,1
"C07","933000320046086","F","F717",104.25,1.33333333333333,2,12,15,3
"C07","933000320046088","M","M752",-0.25,2.66666666666667,2,2,2,2
"C07","933000320046092","M","M773",85.25,0,0,14,15,14
"C07","933000320046093","F","F718",48.75,0,0,1,8,2
"C07","933000320046099","M","M751",96,0,0,19,20,9
"C07","933000320046127","F","F721",0.75,31,NA,11,10,10
"C07","933000320046129","F","F722",-43.25,1.66666666666667,0,0,0,0
"C07","933000320046131","M","M770",-4.5,28.5,8,13,13,15
"C07","933000320046135","M","M757",17,5.33333333333333,1,7,10,7
"C07","933000320046141","M","M753",0,0,0,0,0,0
"C07","933000320046144","M","M754",65.25,2.66666666666667,2,10,10,14
"C07","933000320046148","M","M756",101.75,0.666666666666667,0,15,16,4
"C07","933000320046376","F","F720",130.75,0,0,3,14,17
"C07","933000320046377","F","F710",31.5,32,11,10,5,14
"C07","933000320046379","M","M769",45.5,11.5,3,9,12,9
"C07","933000320046382","F","F709",6.5,45,12,14,12,10
"C07","933000320046390","M","M758",22,3.66666666666667,3,2,9,1
"C07","933000320046393","F","F719",-10,41.6666666666667,12,15,11,12
"C07","933000320046397","M","M776",11,6,5,12,10,2
"C07","933000320046605","F","F701",6,41.6666666666667,11,19,17,19
"C07","933000320046608","F","F714",8.75,2,3,2,2,1
"C07","933000320046609","M","M759",-29.25,43.6666666666667,14,12,12,21
"C07","933000320046611","M","M768",-1.75,0.333333333333333,1,0,1,0
"C07","933000320046613","F","F702",112.5,1.33333333333333,2,12,3,10
"C07","933000320046615","M","M760",12,19.6666666666667,7,11,16,2
